CVEGEO,economic_output
20439,121.679
20440,1.54
20441,182.278
20442,0.368
20443,0.0
20444,0.625
20445,0.235
20446,0.0
20447,44.562
20448,0.0
20449,9.76
20450,2.014
20451,1.79
20452,37.429
20453,11.055
20454,0.802
20455,4.136
20456,2.511
20457,1.851
20458,0.0
20459,23.025
20460,2.117
20461,2.89
20462,15.573
20463,0.0
20464,0.0
20465,2.151
20466,4.837
20467,77.994
20468,7.921
20469,79.742
20470,2.967
20471,0.0
20472,13.286
20473,0.685
20474,9.045
20475,296.205
20476,2.518
20477,0.369
20478,1.321
20479,0.0
20480,0.0
20481,0.0
20482,262.094
20483,25.35
20484,5.008
20485,4.294
20486,6.166
20487,0.879
20488,0.0
20489,8.783
20490,0.0
20491,0.335
20492,1.113
20493,0.0
20494,0.0
20495,1.446
20496,0.0
20497,49.009
20498,2.555
20499,11.467
20500,7.538
20501,0.0
20502,2.452
20503,2.501
20504,7.208
20505,23.535
20506,6.237
20507,11.484
20508,4.713
20509,16.014
20510,0.508
20511,3.859
20512,0.703
20513,38.461
20514,0.0
20515,267.775
20516,8.637
20517,188.968
20518,0.0
20519,39.348
20520,13.904
20521,0.0
20522,4.488
20523,2.195
20524,1.425
20525,52.707
20526,43.97
20527,1.17
20528,2.295
20529,0.0
20530,20.877
20531,32.297
20532,1.597
20533,27.318
20534,19.955
20535,1.834
20536,0.0
20537,16.995
20538,1.979
20539,19.222
20540,25.576
20541,1.31
20542,2.747
20543,10.441
20544,3.368
20545,35.779
20546,103.734
20547,6.379
20548,7.903
20549,16.861
20550,53.164
20551,182.245
20552,1.97
20553,290.37
20554,8.557
20555,4.305
20556,0.0
20557,82.036
20558,0.0
20559,32.197
20560,54.386
20561,14.072
20562,17.989
20563,0.0
20564,6.178
20565,243.15
20566,1.077
20567,3.905
20568,10.489
20569,0.0
20570,151.482
21001,1748.276
21002,19.992
21003,163.112
21004,926.978
21005,56.324
21006,17.952
21007,4.982
21008,15.952
21009,4.63
21010,1014.84
21011,9.69
21012,6.08
21013,390.134
21014,5.599
21015,15898.273
21016,24.199
21017,98.057
21018,2.763
21019,2711.117
21020,66.043
21021,3.08
21022,38.885
21023,13.633
21024,0.0
21025,27.288
21026,41.881
21027,1.653
21028,10.859
21029,17.18
21030,1.017
21031,12.721
21032,2.096
21033,48.69
21034,1239.429
21035,225.943
21036,5.613
21037,1.173
21038,347.144
21039,7.358
21040,33.301
21041,207368.574
21042,8.946
21043,99.254
21044,27.579
21045,363.155
21046,130.954
21047,78.267
21048,105.971
21049,5.118
21050,7.84
21051,3908.468
21052,12.685
21053,318.155
21054,354.634
21055,11.823
21056,2.886
21057,9.085
21058,30.736
21059,8.561
21060,13.916
21061,2.495
21062,10.873
21063,70.688
21064,28.728
21065,36.765
21066,11.953
21067,135.223
21068,3.589
21069,35.655
21070,9.41
21071,277.674
21072,42.368
21073,50.651
21074,51791.901
21075,120.531
21076,88.097
21077,6.832
21078,17.785
21079,17.578
21080,3.453
21081,10.346
21082,27.14
21083,20.728
21084,32.399
21085,400.514
21086,0.0
21087,53.39
21088,5.127
21089,35.753
